shipment_id,shipment_time,weather_condition,geopolitical_event,supplier_reliability,transportation_mode,route_risk,delay
SHIP_0,5,Snow,Sanction,0.93,Rail,1,4
SHIP_1,5,Storm,Sanction,0.98,Sea,8,7
SHIP_2,3,Clear,Sanction,0.93,Rail,3,4
SHIP_3,6,Snow,Sanction,0.39,Sea,9,7
SHIP_4,2,Snow,Strike,0.88,Sea,2,4
SHIP_5,10,Storm,Sanction,0.59,Rail,9,9
SHIP_6,6,Clear,None,0.99,Road,6,3
SHIP_7,7,Clear,Sanction,0.63,Sea,1,4
SHIP_8,3,Snow,Strike,0.69,Rail,5,6
SHIP_9,11,Rainy,Sanction,0.67,Air,9,7
SHIP_10,11,Snow,None,0.53,Rail,6,6
SHIP_11,2,Snow,Strike,0.35,Air,7,6
SHIP_12,5,Snow,Strike,0.93,Sea,4,6
SHIP_13,8,Snow,None,0.86,Rail,1,4
SHIP_14,7,Storm,None,0.4,Rail,5,6
SHIP_15,11,Clear,None,0.84,Air,2,2
SHIP_16,2,Storm,None,0.74,Rail,8,5
SHIP_17,2,Storm,None,0.59,Rail,4,5
SHIP_18,9,Storm,Strike,0.48,Sea,1,7
SHIP_19,5,Snow,Strike,0.9,Rail,7,7
SHIP_20,6,Rainy,Sanction,0.79,Road,2,4
SHIP_21,14,Clear,Sanction,0.68,Air,3,4
SHIP_22,8,Rainy,Tariff,0.73,Rail,9,6
SHIP_23,9,Storm,Sanction,0.36,Air,9,8
SHIP_24,11,Storm,Sanction,0.63,Air,2,6
SHIP_25,8,Rainy,None,0.44,Air,3,3
SHIP_26,3,Rainy,None,0.45,Rail,9,5
SHIP_27,5,Rainy,Sanction,0.76,Rail,1,4
SHIP_28,11,Storm,Tariff,0.94,Air,2,5
SHIP_29,13,Storm,None,0.58,Road,2,5
SHIP_30,2,Clear,Sanction,0.45,Air,3,3
SHIP_31,11,Clear,Sanction,0.75,Road,3,4
SHIP_32,10,Storm,Strike,0.91,Air,2,6
SHIP_33,4,Rainy,Tariff,0.82,Sea,8,6
SHIP_34,13,Rainy,Strike,0.91,Air,8,7
SHIP_35,4,Clear,Tariff,0.68,Air,8,5
SHIP_36,11,Storm,None,0.83,Rail,2,5
SHIP_37,10,Clear,Tariff,0.4,Road,9,5
SHIP_38,11,Clear,Sanction,0.54,Sea,7,7
SHIP_39,4,Snow,Sanction,0.57,Road,5,6
SHIP_40,9,Snow,Tariff,0.66,Sea,7,7
SHIP_41,3,Snow,Tariff,0.95,Air,8,5
SHIP_42,14,Rainy,Tariff,0.91,Rail,9,7
SHIP_43,4,Storm,Strike,0.39,Rail,2,6
SHIP_44,3,Storm,Tariff,0.42,Road,6,5
SHIP_45,2,Storm,None,0.55,Rail,9,7
SHIP_46,3,Storm,Strike,0.5,Road,6,7
SHIP_47,9,Snow,Strike,0.73,Road,2,6
SHIP_48,10,Rainy,Tariff,0.93,Sea,1,4
SHIP_49,14,Rainy,None,0.97,Road,3,4
SHIP_50,3,Snow,Strike,0.76,Sea,5,6
SHIP_51,8,Rainy,Sanction,0.89,Rail,7,6
SHIP_52,6,Snow,Strike,0.67,Road,3,6
SHIP_53,4,Storm,Tariff,0.45,Road,9,6
SHIP_54,10,Snow,None,0.67,Air,4,5
SHIP_55,7,Storm,Tariff,0.69,Road,2,5
SHIP_56,12,Storm,Sanction,0.82,Road,3,7
SHIP_57,2,Clear,Sanction,0.45,Air,5,3
SHIP_58,6,Snow,Sanction,0.56,Air,3,5
SHIP_59,8,Clear,Tariff,0.55,Rail,5,5
SHIP_60,5,Snow,Strike,0.97,Road,4,6
SHIP_61,9,Snow,Tariff,0.61,Rail,3,5
SHIP_62,11,Clear,None,0.83,Rail,6,5
SHIP_63,6,Clear,Strike,0.83,Air,8,5
SHIP_64,10,Snow,Sanction,0.49,Sea,4,7
SHIP_65,10,Rainy,Tariff,0.7,Rail,9,7
SHIP_66,10,Storm,Sanction,0.93,Sea,6,7
SHIP_67,2,Clear,Sanction,0.63,Road,5,4
SHIP_68,3,Storm,None,0.96,Air,3,3
SHIP_69,4,Rainy,Strike,0.45,Road,5,5
SHIP_70,5,Rainy,None,0.35,Road,5,4
SHIP_71,11,Rainy,None,0.92,Air,4,4
SHIP_72,10,Clear,None,0.89,Road,6,4
SHIP_73,11,Rainy,Sanction,0.99,Air,3,4
SHIP_74,14,Clear,None,0.78,Sea,1,4
SHIP_75,7,Rainy,None,0.96,Road,7,3
SHIP_76,2,Storm,Strike,0.88,Air,7,7
SHIP_77,13,Storm,Strike,0.89,Rail,4,8
SHIP_78,10,Snow,None,0.7,Road,9,6
SHIP_79,7,Storm,Strike,0.57,Sea,2,7
SHIP_80,5,Snow,Strike,0.95,Air,1,4
SHIP_81,5,Storm,None,0.6,Road,3,4
SHIP_82,4,Clear,Sanction,0.68,Road,7,5
SHIP_83,8,Storm,None,0.61,Road,9,7
SHIP_84,4,Snow,Strike,0.7,Sea,2,6
SHIP_85,3,Snow,Sanction,0.63,Air,6,5
SHIP_86,11,Rainy,Tariff,0.33,Rail,3,6
SHIP_87,9,Clear,Sanction,0.92,Rail,5,5
SHIP_88,5,Storm,Strike,0.61,Rail,9,8
SHIP_89,9,Rainy,Sanction,0.71,Air,3,4
SHIP_90,2,Storm,None,0.4,Rail,1,4
SHIP_91,6,Storm,Tariff,0.3,Sea,5,7
SHIP_92,14,Rainy,Tariff,0.47,Air,1,4
SHIP_93,10,Rainy,Tariff,0.79,Road,8,6
SHIP_94,2,Rainy,Strike,0.37,Sea,7,6
SHIP_95,12,Rainy,Strike,0.94,Road,2,5
SHIP_96,14,Rainy,Tariff,0.45,Rail,9,8
SHIP_97,5,Storm,Sanction,0.44,Sea,5,7
SHIP_98,7,Rainy,Tariff,0.43,Air,7,5
SHIP_99,11,Clear,Sanction,0.31,Sea,4,6
SHIP_100,9,Snow,Sanction,0.84,Road,1,5
SHIP_101,4,Rainy,Strike,0.91,Air,8,6
SHIP_102,6,Rainy,Sanction,0.73,Sea,1,4
SHIP_103,8,Storm,Tariff,0.43,Sea,3,7
SHIP_104,2,Rainy,Strike,0.5,Sea,6,7
SHIP_105,8,Rainy,None,0.63,Sea,8,6
SHIP_106,14,Rainy,None,0.97,Air,8,5
SHIP_107,13,Storm,Strike,0.47,Road,2,6
SHIP_108,12,Rainy,Tariff,0.81,Sea,9,7
SHIP_109,9,Snow,None,0.61,Air,4,4
SHIP_110,9,Storm,None,0.51,Road,4,5
SHIP_111,10,Snow,Sanction,0.62,Sea,2,7
SHIP_112,7,Storm,Sanction,0.35,Road,1,6
SHIP_113,13,Rainy,Tariff,0.86,Road,7,6
SHIP_114,7,Snow,Strike,0.47,Air,3,6
SHIP_115,3,Storm,Tariff,0.81,Road,4,5
SHIP_116,4,Clear,Strike,0.35,Air,9,5
SHIP_117,5,Rainy,None,0.97,Sea,6,4
SHIP_118,5,Storm,Sanction,0.44,Road,1,5
SHIP_119,9,Clear,Tariff,0.92,Road,9,5
SHIP_120,2,Storm,Tariff,0.87,Rail,9,6
SHIP_121,11,Clear,Strike,0.98,Sea,5,6
SHIP_122,5,Rainy,Strike,0.63,Sea,8,6
SHIP_123,12,Snow,Tariff,0.81,Rail,7,7
SHIP_124,13,Clear,Strike,0.56,Rail,8,7
SHIP_125,14,Storm,Tariff,0.43,Air,9,8
SHIP_126,12,Rainy,Tariff,0.61,Air,2,4
SHIP_127,12,Clear,Tariff,0.42,Road,5,5
SHIP_128,5,Storm,None,0.99,Road,8,5
SHIP_129,2,Storm,Strike,0.37,Road,3,6
SHIP_130,4,Storm,Sanction,0.71,Road,6,7
SHIP_131,6,Clear,Sanction,0.74,Air,6,4
SHIP_132,7,Clear,Strike,0.68,Sea,7,6
